gene_id	SRX026871	SRX1149649	SRX1900396	SRX2255510	SRX3110803
ENSMUSG00000000959	1	1	1	1	1
ENSMUSG00000000976	1	1	1	1	1
ENSMUSG00000000982	1	1	0	0	0
ENSMUSG00000000983	0	1	0	0	0
ENSMUSG00000001014	0	0	0	1	0
ENSMUSG00000001016	1	1	1	1	1
ENSMUSG00000001017	1	1	1	1	1
ENSMUSG00000001018	1	1	1	1	1
ENSMUSG00000001020	1	1	1	1	1
ENSMUSG00000001025	1	1	0	1	1
ENSMUSG00000001029	1	1	1	0	1
ENSMUSG00000001034	1	1	1	1	1
ENSMUSG00000001036	0	1	1	1	1
ENSMUSG00000001039	0	1	0	1	0
ENSMUSG00000001052	1	1	1	1	1
ENSMUSG00000001053	1	1	1	1	0
ENSMUSG00000001054	1	1	1	1	1
ENSMUSG00000001056	1	1	0	1	1
ENSMUSG00000001062	1	1	1	1	0
ENSMUSG00000001065	1	1	1	1	0
ENSMUSG00000001076	0	0	0	1	1
ENSMUSG00000001082	1	1	1	1	1
ENSMUSG00000001089	1	1	1	1	1
ENSMUSG00000001095	1	0	1	0	1
ENSMUSG00000001098	1	1	1	1	1
ENSMUSG00000001100	1	1	1	1	1
ENSMUSG00000001105	1	1	1	1	1
ENSMUSG00000001119	0	1	1	1	1
ENSMUSG00000001120	0	1	1	1	1
ENSMUSG00000001123	1	1	1	1	1
ENSMUSG00000001127	1	1	1	1	1
ENSMUSG00000001128	1	1	1	1	1
ENSMUSG00000001131	0	1	0	1	1
ENSMUSG00000001134	1	0	0	1	1
ENSMUSG00000001138	1	1	1	1	1
ENSMUSG00000001143	1	1	1	1	1
ENSMUSG00000001150	1	1	1	1	1
ENSMUSG00000001151	1	1	1	1	1
ENSMUSG00000001155	0	0	1	0	1
ENSMUSG00000001156	1	1	1	1	1
ENSMUSG00000001157	1	1	1	1	1
ENSMUSG00000001158	1	1	0	1	1
ENSMUSG00000001166	0	0	0	1	0
ENSMUSG00000001173	1	1	1	1	1
ENSMUSG00000001175	1	1	1	1	1
ENSMUSG00000001211	0	1	1	1	1
ENSMUSG00000001225	0	1	0	0	0
ENSMUSG00000001227	1	1	1	1	0
ENSMUSG00000001228	1	1	1	1	1
ENSMUSG00000001229	1	1	1	1	1
ENSMUSG00000001240	0	1	1	1	1
ENSMUSG00000001247	1	1	1	1	1
ENSMUSG00000001248	1	1	1	1	1
ENSMUSG00000001249	0	0	1	1	1
ENSMUSG00000001260	0	1	0	1	0
ENSMUSG00000001270	1	1	0	1	1
ENSMUSG00000001280	1	1	1	1	1
ENSMUSG00000001281	1	1	1	1	1
ENSMUSG00000001285	1	1	1	1	1
ENSMUSG00000001288	1	1	1	1	1
ENSMUSG00000001289	1	1	1	1	1
ENSMUSG00000001300	0	1	1	1	1
ENSMUSG00000001305	1	1	1	1	1
ENSMUSG00000001313	0	1	1	1	1
ENSMUSG00000001323	1	1	1	1	1
ENSMUSG00000001333	0	1	0	0	0
ENSMUSG00000001334	0	1	0	0	0
ENSMUSG00000001348	1	1	1	1	1
ENSMUSG00000001349	0	1	0	1	1
ENSMUSG00000001366	1	1	1	1	1
ENSMUSG00000001376	1	1	1	1	1
ENSMUSG00000001380	1	1	1	1	1
ENSMUSG00000001383	1	1	1	1	1
ENSMUSG00000001403	1	1	1	1	0
ENSMUSG00000001415	1	1	0	1	1
ENSMUSG00000001416	1	1	1	1	1
ENSMUSG00000001418	1	1	1	1	1
ENSMUSG00000001419	1	1	1	1	1
ENSMUSG00000001420	0	0	0	1	1
ENSMUSG00000001424	1	1	1	1	1
ENSMUSG00000001435	0	1	1	1	1
ENSMUSG00000001436	1	1	1	1	1
ENSMUSG00000001440	1	1	1	1	1
ENSMUSG00000001441	1	1	1	1	1
ENSMUSG00000001444	0	0	0	1	0
ENSMUSG00000001445	1	1	1	1	1
ENSMUSG00000001467	1	1	1	1	1
ENSMUSG00000001472	1	1	1	1	1
ENSMUSG00000001473	1	1	1	1	1
ENSMUSG00000001482	1	1	1	1	1
ENSMUSG00000001493	0	1	0	0	0
ENSMUSG00000001494	0	1	0	0	0
ENSMUSG00000001496	0	1	0	0	0
ENSMUSG00000001504	0	0	0	1	0
ENSMUSG00000001506	0	1	1	1	1
ENSMUSG00000001507	0	1	1	1	1
ENSMUSG00000001508	0	1	0	0	0
ENSMUSG00000001510	0	0	0	1	0
ENSMUSG00000001517	1	1	0	1	1
ENSMUSG00000001518	1	1	1	1	1
ENSMUSG00000001520	0	1	0	0	0
ENSMUSG00000001521	1	1	1	1	0
ENSMUSG00000001524	1	1	1	1	0
ENSMUSG00000001525	1	1	1	1	1
ENSMUSG00000001542	1	1	1	1	1
ENSMUSG00000001552	1	1	1	1	1
ENSMUSG00000001555	0	1	1	1	1
ENSMUSG00000001558	0	1	0	1	0
ENSMUSG00000001569	1	1	1	1	1
ENSMUSG00000001576	1	1	1	1	1
ENSMUSG00000001583	0	0	0	1	0
ENSMUSG00000001588	1	0	1	1	0
ENSMUSG00000001604	0	1	1	1	1
ENSMUSG00000001627	1	1	1	1	1
ENSMUSG00000001630	1	1	0	1	1
ENSMUSG00000001632	1	1	1	1	1
ENSMUSG00000001642	1	1	0	1	1
ENSMUSG00000001655	0	0	0	1	0
ENSMUSG00000001663	0	1	1	1	1
ENSMUSG00000001665	1	1	1	1	1
ENSMUSG00000001666	1	1	1	1	1
ENSMUSG00000001670	0	0	1	0	1
ENSMUSG00000001672	0	1	0	1	1
ENSMUSG00000001674	1	1	1	1	1
ENSMUSG00000001687	1	1	1	1	1
ENSMUSG00000001700	1	1	1	1	1
ENSMUSG00000001707	1	1	0	1	1
ENSMUSG00000001729	1	1	1	1	1
ENSMUSG00000001739	1	0	0	0	1
ENSMUSG00000001741	1	1	1	0	1
ENSMUSG00000001750	1	1	1	1	1
ENSMUSG00000001751	1	1	1	1	1
ENSMUSG00000001755	1	1	1	1	1
ENSMUSG00000001761	0	1	1	0	1
ENSMUSG00000001763	0	1	1	1	1
ENSMUSG00000001767	1	1	1	1	1
ENSMUSG00000001768	1	1	1	1	1
ENSMUSG00000001773	0	1	0	1	0
ENSMUSG00000001774	1	1	1	1	1
ENSMUSG00000001783	1	1	1	1	1
ENSMUSG00000001785	1	1	1	1	1
ENSMUSG00000001786	1	1	1	1	1
ENSMUSG00000001794	1	1	1	1	1
ENSMUSG00000001802	0	1	0	1	1
