gene_id	SRX026871	SRX1149649	SRX1900396	SRX2255510	SRX3110803
ENSMUSG00000002395	0	1	0	0	0
ENSMUSG00000002396	1	1	0	1	0
ENSMUSG00000002455	0	0	0	0	1
ENSMUSG00000002458	1	1	0	0	0
ENSMUSG00000002477	0	0	1	0	0
ENSMUSG00000002489	0	1	0	1	0
ENSMUSG00000002504	0	0	0	1	0
ENSMUSG00000002550	0	0	0	1	0
ENSMUSG00000002602	0	1	0	0	0
ENSMUSG00000002603	1	0	0	1	0
ENSMUSG00000002608	0	1	0	0	0
ENSMUSG00000002617	0	1	0	0	0
ENSMUSG00000002658	1	1	0	0	1
ENSMUSG00000002699	1	0	0	0	0
ENSMUSG00000002731	1	0	0	0	0
ENSMUSG00000002733	1	1	0	1	0
ENSMUSG00000002741	0	1	0	0	0
ENSMUSG00000002748	1	1	0	1	1
ENSMUSG00000002814	0	1	0	1	0
ENSMUSG00000002820	1	1	0	1	1
ENSMUSG00000002845	1	1	0	1	1
ENSMUSG00000002846	0	1	1	1	0
ENSMUSG00000002871	1	1	1	0	1
ENSMUSG00000002881	1	1	0	0	0
ENSMUSG00000002944	0	0	1	0	1
ENSMUSG00000002948	0	0	0	0	1
ENSMUSG00000002957	1	0	0	1	0
ENSMUSG00000002963	0	1	0	1	0
ENSMUSG00000002985	0	1	1	1	1
ENSMUSG00000002992	1	0	1	0	1
ENSMUSG00000002997	1	1	0	0	0
ENSMUSG00000003031	0	0	0	1	0
ENSMUSG00000003032	1	0	0	1	0
ENSMUSG00000003033	1	1	0	1	0
ENSMUSG00000003051	0	0	0	1	0
ENSMUSG00000003068	1	1	1	1	1
ENSMUSG00000003072	1	1	1	1	1
ENSMUSG00000003119	0	0	0	1	0
ENSMUSG00000003131	1	1	1	0	1
ENSMUSG00000003134	1	0	0	0	0
ENSMUSG00000003135	0	0	0	1	0
ENSMUSG00000003153	0	1	0	0	0
ENSMUSG00000003154	0	1	0	0	1
ENSMUSG00000003166	1	1	1	0	0
ENSMUSG00000003184	0	1	1	0	1
ENSMUSG00000003228	1	0	0	0	0
ENSMUSG00000003233	0	1	0	1	0
ENSMUSG00000003273	0	1	0	0	0
ENSMUSG00000003279	0	1	0	0	0
ENSMUSG00000003283	0	0	0	1	0
ENSMUSG00000003299	0	0	0	0	1
ENSMUSG00000003308	0	1	1	0	1
ENSMUSG00000003345	1	1	0	1	1
ENSMUSG00000003346	1	1	1	1	1
ENSMUSG00000003355	0	0	0	1	0
ENSMUSG00000003363	1	1	1	1	1
ENSMUSG00000003380	0	1	0	0	0
ENSMUSG00000003410	0	0	0	1	0
ENSMUSG00000003418	0	1	0	0	0
ENSMUSG00000003420	1	1	1	1	1
ENSMUSG00000003435	0	0	0	0	1
ENSMUSG00000003469	0	1	0	1	0
ENSMUSG00000003531	0	1	0	0	0
ENSMUSG00000003534	0	1	0	1	0
ENSMUSG00000003559	0	0	1	1	0
ENSMUSG00000003573	0	1	0	1	0
ENSMUSG00000003585	0	0	0	0	1
ENSMUSG00000003617	0	1	1	0	1
ENSMUSG00000003623	0	0	0	1	0
ENSMUSG00000003662	0	1	0	0	0
ENSMUSG00000003680	0	0	0	1	0
ENSMUSG00000003721	1	1	1	1	1
ENSMUSG00000003746	1	1	1	1	1
ENSMUSG00000003762	0	0	0	1	0
ENSMUSG00000003779	1	0	0	1	0
ENSMUSG00000003809	0	0	1	1	1
ENSMUSG00000003810	0	1	0	0	0
ENSMUSG00000003847	1	1	0	0	0
ENSMUSG00000003868	1	1	0	1	0
ENSMUSG00000003949	0	1	0	0	0
ENSMUSG00000003992	0	1	0	0	0
ENSMUSG00000004031	0	1	0	0	0
ENSMUSG00000004040	1	1	0	1	1
ENSMUSG00000004043	1	0	0	0	1
ENSMUSG00000004054	1	1	1	0	1
ENSMUSG00000004056	1	1	1	1	1
ENSMUSG00000004070	1	0	1	1	0
ENSMUSG00000004071	0	1	0	1	0
ENSMUSG00000004085	1	0	0	1	1
ENSMUSG00000004096	1	1	0	1	1
ENSMUSG00000004105	0	1	0	0	1
ENSMUSG00000004127	0	1	0	1	0
ENSMUSG00000004151	0	1	0	1	0
ENSMUSG00000004221	1	0	1	0	1
ENSMUSG00000004263	0	1	0	1	1
ENSMUSG00000004266	1	0	0	0	1
ENSMUSG00000004267	0	1	0	0	0
ENSMUSG00000004268	1	1	1	1	1
ENSMUSG00000004317	1	0	0	0	1
ENSMUSG00000004319	1	1	1	1	1
ENSMUSG00000004356	0	0	0	1	0
ENSMUSG00000004359	0	0	0	1	0
ENSMUSG00000004360	0	1	0	0	0
ENSMUSG00000004383	0	1	0	1	1
ENSMUSG00000004446	1	0	0	1	0
ENSMUSG00000004451	1	1	0	1	0
ENSMUSG00000004455	1	0	0	0	0
ENSMUSG00000004460	1	1	0	0	0
ENSMUSG00000004462	0	0	0	1	0
ENSMUSG00000004500	1	0	0	0	0
ENSMUSG00000004530	0	0	0	1	0
ENSMUSG00000004535	1	1	0	0	1
ENSMUSG00000004552	1	0	0	0	0
ENSMUSG00000004558	0	1	0	0	0
ENSMUSG00000004591	1	0	0	1	0
ENSMUSG00000004612	1	0	0	0	0
ENSMUSG00000004633	0	1	1	0	1
ENSMUSG00000004642	1	0	0	0	0
ENSMUSG00000004661	1	0	0	1	0
ENSMUSG00000004748	0	1	0	0	0
ENSMUSG00000004768	1	0	0	0	0
ENSMUSG00000004798	0	1	0	0	1
ENSMUSG00000004846	1	0	0	1	0
ENSMUSG00000004880	1	0	0	1	0
ENSMUSG00000004894	0	1	0	0	0
ENSMUSG00000004895	1	1	1	0	0
ENSMUSG00000004896	0	0	0	1	0
ENSMUSG00000004929	1	1	0	0	0
ENSMUSG00000004931	0	1	1	1	1
ENSMUSG00000004933	0	1	0	0	0
ENSMUSG00000004936	1	1	0	0	1
ENSMUSG00000004947	1	0	0	1	1
ENSMUSG00000004980	1	1	1	0	1
ENSMUSG00000004994	1	0	0	0	0
ENSMUSG00000005034	1	1	0	0	1
ENSMUSG00000005057	1	0	0	0	0
ENSMUSG00000005089	0	1	0	0	0
ENSMUSG00000005103	1	1	0	0	0
ENSMUSG00000005124	0	0	0	1	0
ENSMUSG00000005125	0	1	0	1	0
ENSMUSG00000005150	1	0	0	0	0
ENSMUSG00000005161	0	1	0	1	0
ENSMUSG00000005198	0	0	1	0	1
ENSMUSG00000005204	0	1	0	1	0
ENSMUSG00000005262	1	0	0	1	0
ENSMUSG00000005267	0	1	0	0	0
ENSMUSG00000005268	0	1	1	0	1
ENSMUSG00000005299	1	1	1	1	1
ENSMUSG00000005354	0	0	0	1	1
ENSMUSG00000005357	0	1	0	0	0
ENSMUSG00000005360	0	1	0	1	0
ENSMUSG00000005413	0	0	1	1	1
ENSMUSG00000005417	1	0	0	1	0
ENSMUSG00000005447	0	0	0	1	0
ENSMUSG00000005481	0	0	0	1	0
ENSMUSG00000005483	0	0	0	1	0
ENSMUSG00000005501	0	0	0	1	1
ENSMUSG00000005506	1	1	1	0	0
ENSMUSG00000005534	1	1	1	1	0
