dataset	value	region_type
SRX026871	2825	uORF
SRX1149649	3695	uORF
SRX1900396	1221	uORF
SRX2255510	3315	uORF
SRX3110803	2002	uORF
SRX026871	10369	CDS
SRX1149649	14542	CDS
SRX1900396	10564	CDS
SRX2255510	12739	CDS
SRX3110803	11264	CDS
