gene	SRX118286_cnt	SRX118292_cnt	SRX118290_cnt	SRX118296_cnt
ENSG00000113161.15	198	1062	187	139
ENSG00000182809.10	130	608	250	710
ENSG00000088888.17	165	528	105	392
ENSG00000183386.9	15	41	16	0
ENSG00000112249.13	188	594	29	0
ENSG00000174373.16	44	125	0	147
ENSG00000104969.9	156	660	202	572
ENSG00000077152.9	137	485	237	0
ENSG00000146834.13	65	258	0	400
ENSG00000180488.14	90	194	115	37
ENSG00000125834.12	43	122	0	152
ENSG00000258052.1	8	25	0	0
ENSG00000101474.11	260	1256	496	1642
ENSG00000181104.6	206	1359	376	2443
ENSG00000116649.9	167	825	294	409
ENSG00000118181.10	1283	2319	325	0
ENSG00000115649.15	60	240	72	209
ENSG00000173272.14	18	35	20	0
ENSG00000134996.11	31	87	26	138
ENSG00000121068.13	8	51	15	15
ENSG00000164104.11	603	1530	1114	3532
ENSG00000104635.13	194	1072	196	328
ENSG00000133121.20	29	34	42	43
ENSG00000143643.12	39	305	42	146
ENSG00000013297.10	49	206	108	0
ENSG00000100228.12	0	18	14	0
ENSG00000179627.9	5	12	7	0
ENSG00000104976.11	48	171	29	0
ENSG00000118894.14	13	47	17	0
ENSG00000115289.13	21	0	0	98
ENSG00000013364.18	53	125	72	177
ENSG00000197381.15	41	176	0	64
ENSG00000187801.14	0	11	0	0
ENSG00000088179.8	0	84	6	37
ENSG00000178719.16	240	1150	361	1103
ENSG00000175376.8	66	248	66	141
ENSG00000179008.8	38	99	26	130
ENSG00000100225.17	84	354	104	0
ENSG00000268465.1	0	47	11	66
ENSG00000172732.11	22	23	12	0
ENSG00000112200.16	142	450	33	31
ENSG00000170779.10	270	747	0	0
ENSG00000163171.7	25	71	14	98
ENSG00000196453.7	45	88	53	0
ENSG00000159335.15	475	934	623	761
ENSG00000131944.9	0	26	13	55
ENSG00000157106.16	141	562	22	122
ENSG00000172113.8	23	61	0	97
ENSG00000141480.17	27	143	0	87
ENSG00000150867.13	46	134	82	205
ENSG00000112651.11	105	354	128	0
ENSG00000162757.4	12	0	18	46
ENSG00000185215.8	6	0	30	0
ENSG00000120685.19	17	76	34	108
ENSG00000137944.16	68	217	62	197
ENSG00000147649.9	564	2373	711	1353
ENSG00000104856.13	9	0	9	0
ENSG00000123992.18	63	250	78	243
ENSG00000002919.14	0	0	12	0
