gene	SRX118285_cnt	SRX118291_cnt	SRX118289_cnt	SRX118295_cnt
ENSG00000146872.17	176	149	165	129
ENSG00000188690.12	195	268	156	213
ENSG00000129195.15	131	166	103	223
ENSG00000169903.6	0	0	0	1
ENSG00000168398.6	0	1	0	1
ENSG00000188032.9	0	0	0	0
ENSG00000196967.10	0	1	2	1
ENSG00000023902.13	193	104	89	92
ENSG00000275464.4	26	22	19	18
ENSG00000256223.5	45	40	29	25
ENSG00000161798.6	0	0	0	0
ENSG00000270898.5	177	197	149	200
ENSG00000079974.17	4	7	2	1
ENSG00000172733.11	1	9	4	8
ENSG00000187553.8	0	0	0	0
ENSG00000214367.7	204	285	176	224
ENSG00000177646.18	296	206	256	300
ENSG00000196832.3	0	0	0	0
ENSG00000197323.11	260	203	289	238
ENSG00000112210.11	120	130	72	74
ENSG00000116106.11	14	9	11	10
ENSG00000140943.16	1335	1329	1463	1541
ENSG00000183977.13	0	0	0	0
ENSG00000012223.12	1	0	0	1
ENSG00000105866.13	49	20	36	29
ENSG00000118600.11	368	456	308	389
ENSG00000172315.5	283	223	107	145
ENSG00000177565.16	439	459	477	413
ENSG00000162543.5	0	0	0	0
ENSG00000251546.1	0	0	0	0
ENSG00000099917.17	514	523	630	832
ENSG00000008196.12	0	0	0	0
ENSG00000152705.7	8	4	9	17
ENSG00000138311.15	58	162	28	103
ENSG00000283623.1	227	264	161	164
ENSG00000154330.12	336	328	345	404
ENSG00000188076.2	0	0	0	0
ENSG00000049769.12	173	84	146	138
ENSG00000211632.4	0	0	0	0
ENSG00000135540.11	54	51	55	65
ENSG00000019144.17	274	242	231	243
ENSG00000169914.5	53	51	45	51
ENSG00000174501.14	77	72	95	82
ENSG00000236032.2	0	0	0	0
ENSG00000274523.4	615	519	590	580
ENSG00000172301.10	337	353	244	302
ENSG00000171368.11	4	8	2	11
ENSG00000129152.3	14	0	15	0
ENSG00000100359.20	202	156	170	249
ENSG00000007968.6	35	15	28	18
ENSG00000111981.4	8	6	3	5
ENSG00000146842.16	312	350	328	298
ENSG00000198252.11	417	437	383	355
ENSG00000149418.10	6	7	3	10
ENSG00000155754.14	0	0	0	1
ENSG00000100347.14	518	747	404	667
ENSG00000181929.11	563	884	450	920
ENSG00000100209.9	164	178	127	155
ENSG00000120254.15	331	336	326	305
ENSG00000127554.12	155	174	113	170
ENSG00000225997.1	0	0	0	0
ENSG00000117016.9	10	3	7	6
ENSG00000196151.10	74	94	67	93
ENSG00000167600.13	45	46	50	77
ENSG00000103710.10	0	0	0	0
ENSG00000261701.6	0	0	0	0
ENSG00000117148.7	0	1	0	0
ENSG00000281227.1	0	0	0	0
ENSG00000079482.12	32	36	45	43
ENSG00000010810.17	175	104	135	119
ENSG00000110048.11	517	517	575	667
ENSG00000259494.1	293	263	163	213
ENSG00000167716.18	9	12	18	31
ENSG00000115568.15	381	322	286	395
ENSG00000213445.9	426	465	316	581
ENSG00000188917.14	187	213	172	211
ENSG00000136404.15	0	0	0	0
ENSG00000228325.5	0	0	0	0
ENSG00000170421.12	366	355	324	416
ENSG00000090263.15	337	448	296	384
ENSG00000227488.2	0	0	0	0
ENSG00000173402.11	1139	1131	1306	1439
ENSG00000139351.14	0	1	0	3
ENSG00000206127.10	0	0	0	0
ENSG00000196220.15	45	28	34	39
ENSG00000233701.3	0	0	0	0
ENSG00000103479.15	394	321	431	347
ENSG00000064932.15	157	129	132	150
ENSG00000184232.8	209	179	191	246
ENSG00000177733.6	1234	904	987	1104
ENSG00000259916.1	0	0	0	0
ENSG00000276699.1	0	0	0	0
ENSG00000183814.15	259	313	258	282
ENSG00000204711.8	0	0	0	0
ENSG00000163655.15	1086	1164	700	776
ENSG00000114770.16	323	351	305	340
ENSG00000161265.14	54	41	52	57
ENSG00000105492.15	0	0	0	0
ENSG00000213689.10	61	38	104	73
ENSG00000075043.18	0	0	1	0
ENSG00000203877.8	0	0	0	0
ENSG00000185640.5	1	0	0	0
ENSG00000160460.15	50	26	45	70
ENSG00000174371.16	447	489	308	345
ENSG00000171126.7	1	1	2	1
ENSG00000108963.17	228	205	185	251
ENSG00000119397.16	177	144	213	235
ENSG00000090020.10	338	296	351	297
ENSG00000213533.11	109	103	84	117
ENSG00000143067.4	31	38	14	25
ENSG00000144445.16	26	28	40	52
ENSG00000189190.9	159	144	76	107
ENSG00000165959.11	1	18	1	5
ENSG00000204952.2	0	0	0	0
ENSG00000139055.6	0	0	0	0
ENSG00000074803.17	0	0	0	1
ENSG00000141977.9	0	0	2	0
ENSG00000240230.5	153	98	98	114
ENSG00000143324.13	70	100	69	76
ENSG00000159110.19	219	389	176	268
