dataset	SRP062407	SRP063852	SRP078005	SRP091889	SRP098789
ribocop	0.9970203988081594	0.9841549295774649	0.9975206611570248	0.9896288209606988	0.9937499999999999
riborf	0.9789522918615529	0.9184629803186505	0.9803100125680771	0.9505875690216622	0.9006590187942397
ribowave	0.7527964205816554	0.8359683794466403	0.5898666666666667	0.7159993242101705	0.6660924490381855
rpbp	0.8699021207177814	0.9067315490673155	0.8863039399624766	0.8556411196675223	0.8774916943521596
