baseMean log2FoldChange lfcSE stat pvalue padj
ENST00000000233.9_127588499_127591296_540 565.392699301136 -0.129948965567237 0.307481351577618 -0.422623892149875 0.67256969198854 0.993734645869831
ENST00000000412.7_8941821_8946404_831 256.736335431452 -0.836428672196592 2.816439028705 -0.296980926507464 0.766481071006979 0.993734645869831
ENST00000001008.5_2795140_2803255_1377 826.539790061764 -0.459721678936028 0.444447932152951 -1.03436566058276 0.300965251521571 0.993734645869831
ENST00000002125.8_37231706_37248347_1323 71.2475464929943 0.572736726562455 3.28589000100471 0.174301856236007 0.861628240509662 0.993734645869831
ENST00000002165.10_143495710_143511634_1401 323.393261534366 -10.7183376320551 1.5590568223586 -6.87488581451445 6.20395321483935e-12 6.12599899286318e-11
ENST00000002829.7_50159623_50188112_2355 540.488521784 -0.150473941359044 2.74889683322425 -0.054739755795982 0.956345796282834 0.998183333581299
ENST00000003100.12_92113668_92134364_1527 285.049292433296 -0.658311040283129 2.6934289762565 -0.24441373657385 0.806910404088628 0.993734645869831
ENST00000003302.8_113799243_113875501_3231 224.251729868011 -0.996706227541226 2.72653867999331 -0.36555734010114 0.71469541258145 0.993734645869831
ENST00000003912.7_24442139_24469182_972 140.470493952345 0.359647983655849 0.483946779362827 0.743156063832821 0.457387200138106 0.993734645869831
ENST00000005082.13_3359121_3379040_1818 217.572898054995 -0.731242057891192 2.37944981407113 -0.307315604459028 0.758603159370954 0.993734645869831
ENST00000005257.6_39686668_39706242_618 183.826422604529 -0.608017645673872 2.78633711527777 -0.218213956358708 0.827262411493778 0.993734645869831
ENST00000005259.8_107580773_107618360_723 247.371892848876 -11.0682281083041 1.47481291063616 -7.50483537842762 6.15058462333252e-14 1.21442516269264e-12
ENST00000005260.8_98293524_98400852_1533 144.333458976804 -9.57280169739788 1.49531010651545 -6.40188390066161 1.53471353544929e-10 1.00355107553836e-09
ENST00000005340.9_7225868_7234262_2208 218.324038416892 0.138592481182891 0.300580031832198 0.461083460328667 0.644738727631582 0.993734645869831
ENST00000005374.10_30497181_30504709_342 96.8346758226657 -0.432422710908697 2.66012440198422 -0.162557326486741 0.870866988508107 0.993734645869831
ENST00000005386.7_47663508_47702840_1995 407.962811773836 -0.637374756979956 2.89996672906851 -0.2197869205157 0.826037106496219 0.993734645869831
ENST00000005558.8_112450689_112475516_1353 453.467686705346 -10.7189700599481 1.47825336995612 -7.25110476850545 4.13385753697723e-13 6.04511038938531e-12
ENST00000006658.10_50547209_50555659_2406 571.254254159436 -9.58604299113539 1.56549573250596 -6.12332744963191 9.16410894600271e-10 5.05610619202062e-09
ENST00000006777.10_75879083_75888346_1092 184.138107070446 -1.04063956640416 2.21302532008661 -0.470233917777063 0.638187904045173 0.993734645869831
ENST00000007264.6_785953_787737_936 135.634968317326 -1.17187272483312 2.03386650020349 -0.576179766329733 0.564493680080854 0.993734645869831
ENST00000007390.2_1349440_1351804_936 212.096976456477 -0.236822998815838 0.513780557581671 -0.460941924175852 0.644840272167206 0.993734645869831
ENST00000007516.7_23582287_23596290_468 662.786112480742 -1.0507031866649 2.92669544336334 -0.359006670491633 0.719590099151283 0.993734645869831
ENST00000007722.11_50056440_50089262_3198 4396.43243239007 -0.985071455575632 3.16548958734319 -0.311190869025226 0.755655524132312 0.993734645869831
ENST00000008440.9_231338384_231351603_621 46.5514928081242 -0.646454040496003 0.737455689419676 -0.876600519557609 0.380703656899608 0.993734645869831
ENST00000009180.8_6200500_6237825_684 1277.99321229594 0.312718586610408 0.420541191330873 0.743609884255946 0.457112521700281 0.993734645869831
ENST00000009589.7_56073093_56074383_357 347.924665996647 -2.70144867444911 2.61998061031827 -1.03109491108827 0.302496313988485 0.993734645869831
ENST00000010404.6_16354253_16364038_465 1391.95785677647 0.178041091837993 0.207456042492941 0.858211164632866 0.390775872188179 0.993734645869831
ENST00000011473.6_106091808_106112529_777 1161.09971163199 -1.24605080986884 3.06569364657711 -0.40644987840193 0.684412077291263 0.993734645869831
ENST00000011619.5_13622365_13711505_2187 267.273385345116 -10.2997704537462 1.48366711237231 -6.94210336527404 3.86304378607544e-12 4.08077337800701e-11
ENST00000011700.10_12277121_12509021_9629 263.808072084952 -9.95178412377541 1.47818340792824 -6.73244204365913 1.6683885200295e-11 1.44203437258294e-10
ENST00000012134.6_142753110_142774738_7338 316.309256578216 -10.850902894696 1.49353818079459 -7.26523301126669 3.72395777204814e-13 5.55927698292846e-12
ENST00000012443.8_46347097_46390343_1497 427.881649179086 -0.859015900494434 2.83795633694799 -0.302688201827038 0.762127489844939 0.993734645869831
ENST00000013034.3_51154374_51161842_531 3181.13099469039 0.0682783172873612 0.221543809136946 0.308193298442185 0.757935251523278 0.993734645869831
ENST00000013070.10_93207292_93227032_1275 88.3056746340149 0.721308724483083 0.631687142090327 1.14187653415928 0.253505343845695 0.904673496976895
ENST00000013125.8_50420022_50532049_2538 847.854603811124 -11.5003750553943 1.52725343934476 -7.53010257441512 5.07004784495716e-14 1.02652964126912e-12
ENST00000013807.9_45413551_45423374_969 162.556063384223 -0.348387812568342 2.62524831943986 -0.132706612928211 0.894425412767023 0.993734645869831
ENST00000014914.5_12908250_12912536_1071 446.772790907753 -1.14357811837834 2.98915784775241 -0.382575352866766 0.702034647973375 0.993734645869831
ENST00000014930.8_12975311_13000114_567 140.167682826799 -1.38808048542674 2.72764411333128 -0.508893546134754 0.610826843993117 0.993734645869831
ENST00000014935.7_154402710_154405568_906 105.002248100834 -1.90853824525783 1.94960141575074 -0.978937658661326 0.327610783471377 0.993734645869831
ENST00000016171.5_99714590_99732049_1230 134.774545308335 -1.43239533260327 2.6698659998777 -0.536504578382916 0.591609872547641 0.993734645869831
ENST00000017003.6_50346141_50360288_2595 236.829905219577 -0.411687468509378 2.66662709837792 -0.154385091473721 0.877306108009243 0.993734645869831
ENST00000019019.6_48478048_48483015_981 289.653000578446 -10.3414066022861 1.51711404575867 -6.81649914928753 9.32857792545968e-12 8.69229175752085e-11
ENST00000019317.8_9513046_9535934_1965 549.458939440701 -0.366645327132319 2.63976939449327 -0.138892938109353 0.889534751451008 0.993734645869831
ENST00000020945.2_48918810_48921265_804 130.081036838993 0.282863459168475 1.22236057694782 0.231407544142803 0.816998204830212 0.993734645869831
ENST00000022615.8_42394212_42405459_849 571.666017929036 -11.8237952106997 1.52210150593328 -7.76807273667986 7.96892990705192e-15 2.23323990188842e-13
ENST00000023939.8_56468698_56518262_1008 861.030457823272 -0.874297515929604 2.97914524953857 -0.293472604622088 0.769160936450106 0.993734645869831
ENST00000025008.9_52623785_52685469_4782 183.964508930864 -0.454108647610714 2.4642230875564 -0.184280656205126 0.85379328816084 0.993734645869831
ENST00000025301.3_42286349_42319225_5703 215.659240201488 -1.21092034986281 2.49822851737071 -0.484711603219252 0.627880934559812 0.993734645869831
ENST00000025399.10_15882708_15902975_1089 530.537992297385 -0.858653956495867 2.63836057510308 -0.325449813266073 0.744840660066691 0.993734645869831
ENST00000031146.8_69399370_69458590_723 460.523578549435 -1.18969103757791 2.93641771561187 -0.405150476804697 0.685366904913746 0.993734645869831
ENST00000034275.12_5917613_5978082_1497 550.401598013202 -0.927816448267379 2.85240259515707 -0.325275418639243 0.744972633274631 0.993734645869831
ENST00000037243.6_75566487_75577366_351 341.3604384036 -0.487506600110248 2.95037981992207 -0.165235200165898 0.868758860317454 0.993734645869831
ENST00000037869.7_70297292_70302011_414 97.1824208747205 -0.726706213869656 2.59345397799425 -0.28020786951912 0.779318029419649 0.993734645869831
ENST00000039989.8_43358955_43493901_3423 347.241616250721 -0.6852188027376 0.478975751570846 -1.43059184205121 0.152547226888889 0.59524211134499
ENST00000040663.7_13764589_13772278_1107 128.206192748033 -1.10143993389104 2.55063115785286 -0.431830345402917 0.665864722718761 0.993734645869831
ENST00000040738.9_13570014_13627587_9153 341.827717412594 -11.9907555494754 1.54775632630806 -7.74718561679378 9.39515729833982e-15 2.52857673508062e-13
ENST00000042381.8_67538447_67546460_3657 254.132034229147 -9.33293098972721 1.48439746230334 -6.28735310234583 3.22924326971279e-10 1.95429729231727e-09
ENST00000044462.11_78541928_78548941_783 1516.42906956428 0.460201990004281 0.215544439695224 2.13506778766828 0.0327554733915614 0.141441904749506
ENST00000052569.10_117563257_117602288_1362 136.990674430899 -0.287758331284794 2.83882246111024 -0.101365384847721 0.919260413795071 0.994922700743514
ENST00000053468.3_42208292_42217849_603 236.07440337313 -0.0562145982452536 4.14880653421625 -0.0135495829418985 0.989189327757065 0.999431482310743
ENST00000053867.7_44349165_44352795_1779 3874.89326981989 -0.476544906985986 0.419496627161745 -1.13599222527776 0.255959818165474 0.911187752786035
ENST00000054666.10_7771384_7779642_300 308.291409672158 -0.0501311347648946 0.413275273345692 -0.121302042483828 0.903451802298185 0.993734645869831
ENST00000054950.3_32091197_32104469_993 115.500056708887 -1.53832615585167 2.56286012880785 -0.600238045986241 0.548347601272117 0.993734645869831
ENST00000055077.7_74232109_74254383_1062 361.12013252346 -10.8610723817074 1.45892009473655 -7.44459715161349 9.72406908529224e-14 1.80211701599576e-12
ENST00000056233.3_26152499_26185780_2082 527.662022457756 0.693409191955334 0.299414231690026 2.31588588171453 0.0205645003858002 0.0898844138830082
ENST00000060969.5_114774274_114780607_621 124.054844706252 0.0729882603876455 0.639066577518136 0.114210730079331 0.909070746195996 0.994081905244213
ENST00000064724.7_170419067_170432753_621 127.640253064241 -0.178005114803194 2.73734921513636 -0.065028281309123 0.948151482675756 0.996555495016396
ENST00000064778.8_73407534_73468474_732 75.2285503733261 -1.09467406774422 2.3764036702966 -0.460643148058931 0.645054649625225 0.993734645869831
ENST00000066544.7_47120938_47189172_2472 580.343266793388 -11.8658926727778 1.4638197366682 -8.10611605755894 5.22635261152292e-16 2.53962378368737e-14
ENST00000070846.10_32792427_32896731_2643 107.653590088134 -1.39333237349392 2.31659863391386 -0.601456097355933 0.547536244698592 0.993734645869831
ENST00000072644.5_53860067_53888937_918 82.439417765869 0.917209805887113 2.00481999265872 0.457502324021991 0.647310032239046 0.993734645869831
ENST00000074304.9_98520049_98587605_2931 91.5669175752273 -0.889869692079693 2.25740160133097 -0.394200877484549 0.693432737898539 0.993734645869831
ENST00000078429.8_3094652_3121176_1077 251.104616252448 -0.628745254478225 2.73207642167193 -0.230134578041362 0.817987196502687 0.993734645869831
ENST00000080059.11_47783844_47819785_2973 316.395971989158 -0.294429353358768 0.315680860020333 -0.932680408117881 0.350985003428264 0.993734645869831
ENST00000081029.7_27710844_27755447_969 763.269148720284 -1.34261997786365 2.90152697694638 -0.46272875921238 0.643558801316778 0.993734645869831
ENST00000083182.7_60447584_60525931_1755 271.985299653043 -11.0477521181167 1.49315642820485 -7.39892479410139 1.37291574190189e-13 2.39360945311308e-12
ENST00000084795.9_48615375_48617884_568 1279.86434785446 -2.51951995486127 2.77160873134358 -0.909046044764007 0.363325821314737 0.993734645869831
ENST00000085068.7_55453311_55456486_663 337.347880896821 -1.05527108002927 2.75466988796255 -0.383084406825163 0.701657180916147 0.993734645869831
ENST00000085079.11_55678628_55695353_1650 1038.85386266918 -10.7795473982557 1.48178361096611 -7.2747109081788 3.47163093289312e-13 5.23870096842214e-12
ENST00000156084.8_48923177_48957570_1713 334.255222408805 -0.846825749604193 2.74477005348255 -0.30852338560374 0.757684108408458 0.993734645869831
ENST00000156109.6_49113624_49123722_1428 215.65677040441 -0.618574926155285 2.77817415164289 -0.22265520172286 0.823803869925507 0.993734645869831
ENST00000156471.9_34856795_34969613_4455 567.161212614483 -11.9427309037345 1.52160826624675 -7.84875527338769 4.20186634711193e-15 1.32473841036387e-13
ENST00000156825.5_1578343_1592631_777 238.96508148383 0.172007101821988 0.308414249907037 0.55771450856708 0.577039348829609 0.993734645869831
ENST00000157812.6_39971203_39981302_1254 1133.14442098049 -0.776304468811952 3.01758517091756 -0.257260168260934 0.796977938954226 0.993734645869831
ENST00000158526.9_154445642_154450099_780 423.779205188802 -0.624744144214687 0.296655469432389 -2.10595862402285 0.0352079465965167 0.151685708429405
ENST00000158771.8_5474687_5486161_717 158.585915579323 -0.810764551779395 2.62076370849164 -0.309361942533165 0.75704621684266 0.993734645869831
ENST00000159111.8_5032891_5151508_3288 213.023155615762 -1.08170511307816 2.7214931694648 -0.397467509826926 0.691022740886982 0.993734645869831
ENST00000160827.8_29790760_29805307_1995 459.466333347231 -11.1233202349764 1.5085766207508 -7.37338765692954 1.6634587131751e-13 2.81491227482531e-12
ENST00000162044.13_19119933_19138428_1437 235.911189214093 -1.34210356869612 2.63760393482257 -0.50883438221228 0.610868317271219 0.993734645869831
ENST00000162330.9_75229514_75251482_2610 317.377000938002 -1.11258762568327 2.63599049355045 -0.422075735252257 0.672969738376384 0.993734645869831
ENST00000163416.6_92797438_92839443_2193 438.354253735265 0.914555690178799 0.442530198533313 2.06665148098351 0.0387670061057545 0.166261801246752
ENST00000166345.7_892999_917100_1296 381.82905724629 -10.7695984492244 1.51544409698654 -7.10656267073114 1.18968649696115e-12 1.4729531322591e-11
ENST00000166534.8_132193013_132218626_1605 432.328977586546 -0.556036818962299 2.97302822912985 -0.187027090262456 0.85163939273792 0.993734645869831
ENST00000168216.10_53431407_53434345_783 545.915669610697 -1.22262507577439 2.86456387105684 -0.426810198972216 0.669517577323836 0.993734645869831
ENST00000169551.10_74148809_74158477_744 269.466300463135 -1.20232460800042 2.67802134330783 -0.448960054409175 0.6534604727753 0.993734645869831
ENST00000170447.11_12557151_12582250_1248 283.238255921225 -0.545269526147188 2.61023572581084 -0.208896660464567 0.834528911215347 0.993734645869831
ENST00000170564.6_33081194_33130157_2793 88.1977416336489 -1.22926821809105 2.01005464138218 -0.611559602800534 0.540829172579638 0.993734645869831
ENST00000171111.9_10486655_10500033_1872 642.888517055305 -1.30407676236742 2.85010973177339 -0.457553176928383 0.647273489587895 0.993734645869831
