gene_id	count
ENSG00000001629.9	10
ENSG00000001630.15	31
ENSG00000002016.17	6
ENSG00000002746.14	5
ENSG00000002822.15	7
ENSG00000003509.15	11
ENSG00000004455.16	15
ENSG00000004478.7	13
ENSG00000004534.14	9
ENSG00000004660.14	9
ENSG00000004897.11	10
ENSG00000005156.11	13
ENSG00000005187.11	5
ENSG00000005238.19	16
ENSG00000005249.12	5
ENSG00000005302.17	15
ENSG00000005379.15	7
ENSG00000005436.13	25
ENSG00000005469.11	9
ENSG00000005801.16	12
ENSG00000005882.11	28
ENSG00000005884.17	69
ENSG00000006025.11	10
ENSG00000006042.11	29
ENSG00000006118.14	7
ENSG00000006194.9	10
ENSG00000006530.15	7
ENSG00000006534.15	7
ENSG00000006638.11	5
ENSG00000006744.18	32
ENSG00000007255.10	8
ENSG00000007392.16	10
ENSG00000007402.11	6
ENSG00000007541.16	9
ENSG00000007944.14	7
ENSG00000008130.15	11
ENSG00000008405.11	17
ENSG00000008513.14	38
ENSG00000008517.16	10
ENSG00000008710.18	5
ENSG00000009335.17	8
ENSG00000009780.15	6
ENSG00000009830.11	22
ENSG00000010072.15	25
ENSG00000010318.20	7
ENSG00000010404.17	11
ENSG00000011009.10	17
ENSG00000011114.14	5
ENSG00000011143.16	21
ENSG00000011258.15	10
ENSG00000011332.19	10
ENSG00000011422.11	7
ENSG00000011478.11	8
ENSG00000012048.20	27
ENSG00000012171.18	14
ENSG00000012660.13	21
ENSG00000012822.15	6
ENSG00000013375.15	18
ENSG00000013523.9	14
ENSG00000013563.13	11
ENSG00000013573.16	14
ENSG00000014914.19	12
ENSG00000015153.14	6
ENSG00000015532.9	5
ENSG00000017260.19	24
ENSG00000018189.12	5
ENSG00000018408.14	10
ENSG00000021762.19	6
ENSG00000021776.10	9
ENSG00000021826.14	9
ENSG00000022267.16	7
ENSG00000023191.16	37
ENSG00000025434.18	7
ENSG00000026297.15	14
ENSG00000026950.16	5
ENSG00000027847.13	13
ENSG00000028203.17	35
ENSG00000028310.17	7
ENSG00000028528.14	23
ENSG00000031003.10	8
ENSG00000031691.6	42
ENSG00000031823.14	15
ENSG00000032219.18	9
ENSG00000033030.13	17
ENSG00000033100.15	10
ENSG00000033170.16	31
ENSG00000033800.13	11
ENSG00000034677.12	15
ENSG00000035141.7	12
ENSG00000037241.7	31
ENSG00000037749.11	8
ENSG00000037897.16	10
ENSG00000039123.15	6
ENSG00000040199.18	9
ENSG00000040275.16	10
ENSG00000040487.12	9
ENSG00000040531.14	25
ENSG00000040933.15	5
ENSG00000041353.9	7
ENSG00000042088.13	9
ENSG00000042317.16	5
ENSG00000042429.10	7
ENSG00000043093.13	12
ENSG00000043143.20	22
ENSG00000047056.14	9
ENSG00000047249.16	9
ENSG00000047346.12	6
ENSG00000047597.5	8
ENSG00000048140.17	8
ENSG00000048342.15	6
ENSG00000048471.13	8
ENSG00000048991.16	5
ENSG00000049130.13	9
ENSG00000049541.10	17
