gene_id	count
ENSG00000000003.14	561
ENSG00000000419.12	729
ENSG00000000457.13	40
ENSG00000000460.16	100
ENSG00000001036.13	280
ENSG00000001084.10	226
ENSG00000001167.14	264
ENSG00000001461.16	187
ENSG00000001497.16	710
ENSG00000001617.11	243
ENSG00000001629.9	153
ENSG00000001630.15	383
ENSG00000002016.17	76
ENSG00000002330.13	233
ENSG00000002549.12	264
ENSG00000002822.15	92
ENSG00000002834.17	826
ENSG00000002919.14	48
ENSG00000003056.7	292
ENSG00000003096.13	117
ENSG00000003393.14	61
ENSG00000003402.19	124
ENSG00000003436.14	436
ENSG00000003509.15	14
ENSG00000003756.16	394
ENSG00000003989.16	41
ENSG00000004059.10	669
ENSG00000004142.11	301
ENSG00000004455.16	210
ENSG00000004478.7	936
ENSG00000004487.15	594
ENSG00000004534.14	334
ENSG00000004700.15	636
ENSG00000004766.15	164
ENSG00000004779.9	519
ENSG00000004799.7	41
ENSG00000004864.13	282
ENSG00000004866.19	15
ENSG00000004897.11	629
ENSG00000004961.14	439
ENSG00000004975.11	93
ENSG00000005007.12	875
ENSG00000005020.12	56
ENSG00000005022.5	2343
ENSG00000005075.15	65
ENSG00000005100.12	183
ENSG00000005175.9	245
ENSG00000005187.11	46
ENSG00000005194.14	235
ENSG00000005206.16	43
ENSG00000005302.17	127
ENSG00000005339.14	258
ENSG00000005436.13	106
ENSG00000005448.16	121
ENSG00000005469.11	98
ENSG00000005483.20	99
ENSG00000005486.16	217
ENSG00000005700.14	171
ENSG00000005801.16	166
ENSG00000005810.17	307
ENSG00000005812.10	170
ENSG00000005882.11	282
ENSG00000005884.17	4169
ENSG00000005889.15	256
ENSG00000005893.15	1857
ENSG00000006007.11	90
ENSG00000006015.17	157
ENSG00000006042.11	138
ENSG00000006062.13	39
ENSG00000006118.14	38
ENSG00000006125.16	1558
ENSG00000006194.9	28
ENSG00000006282.20	225
ENSG00000006327.13	398
ENSG00000006432.15	32
ENSG00000006451.7	128
ENSG00000006453.13	235
ENSG00000006468.13	221
ENSG00000006530.15	193
ENSG00000006534.15	30
ENSG00000006555.10	14
ENSG00000006576.16	158
ENSG00000006606.8	93
ENSG00000006607.13	120
ENSG00000006625.17	185
ENSG00000006634.7	112
ENSG00000006652.13	121
ENSG00000006704.10	87
ENSG00000006712.14	352
ENSG00000006715.15	401
ENSG00000006744.18	498
ENSG00000006831.9	113
ENSG00000007047.14	35
ENSG00000007080.10	414
ENSG00000007168.12	379
ENSG00000007202.14	297
ENSG00000007255.10	30
ENSG00000007376.7	145
ENSG00000007392.16	182
ENSG00000007516.13	33
ENSG00000007520.3	124
ENSG00000007541.16	95
ENSG00000007866.18	64
ENSG00000007923.15	673
ENSG00000008018.8	1696
ENSG00000008083.13	59
ENSG00000008130.15	257
ENSG00000008256.15	76
ENSG00000008277.14	42
ENSG00000008283.15	114
ENSG00000008294.20	2456
ENSG00000008300.15	25
ENSG00000008394.12	1524
ENSG00000008405.11	227
ENSG00000008441.16	657
ENSG00000008513.14	564
ENSG00000008838.18	285
ENSG00000008853.16	36
ENSG00000008869.11	149
ENSG00000008952.16	844
ENSG00000008988.9	167
ENSG00000009307.15	1545
ENSG00000009335.17	565
ENSG00000009844.15	186
ENSG00000009954.10	947
ENSG00000010017.12	239
ENSG00000010072.15	162
ENSG00000010165.19	542
ENSG00000010219.13	22
ENSG00000010244.17	822
ENSG00000010256.10	2316
ENSG00000010270.13	43
ENSG00000010278.12	1693
ENSG00000010292.12	1254
ENSG00000010322.15	169
ENSG00000010810.17	34
ENSG00000010818.8	237
ENSG00000011007.12	182
ENSG00000011009.10	77
ENSG00000011021.21	25
ENSG00000011028.13	319
ENSG00000011052.21	7290
ENSG00000011105.11	57
ENSG00000011132.11	58
ENSG00000011143.16	42
ENSG00000011198.7	152
ENSG00000011201.11	47
ENSG00000011243.17	189
ENSG00000011258.15	85
ENSG00000011260.13	504
ENSG00000011275.18	264
ENSG00000011295.15	178
ENSG00000011304.18	2005
ENSG00000011376.9	254
ENSG00000011405.13	468
ENSG00000011422.11	389
ENSG00000011426.10	2604
ENSG00000011451.17	139
ENSG00000011454.16	43
ENSG00000011478.11	64
ENSG00000011485.14	398
ENSG00000011566.14	31
ENSG00000011638.10	42
ENSG00000012048.20	203
ENSG00000012061.15	117
ENSG00000012171.18	43
ENSG00000012174.11	372
ENSG00000012211.12	31
ENSG00000012232.8	72
ENSG00000012660.13	1121
ENSG00000012822.15	34
ENSG00000012983.11	651
ENSG00000013016.15	31
ENSG00000013275.7	1416
ENSG00000013288.8	45
ENSG00000013297.10	191
ENSG00000013306.15	838
ENSG00000013364.18	118
ENSG00000013374.15	438
ENSG00000013375.15	321
ENSG00000013441.15	61
ENSG00000013503.9	368
ENSG00000013523.9	74
ENSG00000013561.17	163
ENSG00000013563.13	81
ENSG00000013583.8	184
ENSG00000013588.6	893
ENSG00000013810.18	587
ENSG00000014123.9	140
ENSG00000014138.8	425
ENSG00000014216.15	927
ENSG00000014641.17	2382
ENSG00000014824.13	211
ENSG00000015133.18	84
ENSG00000015153.14	29
ENSG00000015171.18	134
ENSG00000015475.18	39
ENSG00000015479.17	2418
ENSG00000015532.9	61
ENSG00000015676.17	467
ENSG00000016864.17	225
ENSG00000017260.19	222
ENSG00000017797.11	519
ENSG00000018236.14	35
ENSG00000018408.14	1104
ENSG00000018510.13	450
ENSG00000018699.11	319
ENSG00000019144.17	39
ENSG00000019549.8	88
ENSG00000019995.6	131
ENSG00000020129.15	109
ENSG00000020256.19	100
ENSG00000020426.10	1029
ENSG00000020577.13	156
ENSG00000020922.12	285
ENSG00000021300.13	22
ENSG00000021355.12	172
ENSG00000021574.11	125
ENSG00000021762.19	77
ENSG00000021826.14	17
ENSG00000022267.16	466
ENSG00000022277.12	849
ENSG00000022840.15	83
ENSG00000022976.15	66
ENSG00000023041.11	67
ENSG00000023171.15	244
ENSG00000023191.16	91
ENSG00000023228.13	348
ENSG00000023287.12	168
ENSG00000023318.7	267
ENSG00000023330.14	551
ENSG00000023516.8	165
ENSG00000023572.8	75
ENSG00000023608.4	1437
ENSG00000023697.12	99
ENSG00000023734.10	563
ENSG00000023892.10	103
ENSG00000023909.9	347
ENSG00000024048.10	349
ENSG00000024526.16	155
ENSG00000024862.17	92
ENSG00000025156.12	42
ENSG00000025293.16	185
ENSG00000025708.13	36
ENSG00000025770.18	157
ENSG00000025772.7	923
ENSG00000025800.13	603
ENSG00000026025.14	11674
ENSG00000026036.21	263
ENSG00000026508.16	1706
ENSG00000026559.13	39
ENSG00000027001.9	188
ENSG00000027075.13	109
ENSG00000027697.13	121
ENSG00000027847.13	62
ENSG00000028116.16	134
ENSG00000028203.17	182
ENSG00000028310.17	142
ENSG00000028528.14	346
ENSG00000028839.9	78
ENSG00000029153.14	202
ENSG00000029363.15	173
ENSG00000029364.11	817
ENSG00000029639.10	130
ENSG00000029725.16	124
ENSG00000029993.14	236
ENSG00000030066.13	599
ENSG00000030110.12	41
ENSG00000030582.16	3502
ENSG00000031081.10	105
ENSG00000031691.6	96
ENSG00000031698.12	978
ENSG00000031823.14	426
ENSG00000032389.12	263
ENSG00000032444.15	648
ENSG00000032742.17	66
ENSG00000033011.11	237
ENSG00000033030.13	87
ENSG00000033050.7	662
ENSG00000033100.15	131
ENSG00000033170.16	1538
ENSG00000033327.12	91
ENSG00000033800.13	159
ENSG00000033867.16	1777
ENSG00000034152.18	87
ENSG00000034510.5	5280
ENSG00000034533.11	49
ENSG00000034677.12	67
ENSG00000034693.14	98
ENSG00000034713.7	529
ENSG00000035141.7	176
ENSG00000035403.16	5510
ENSG00000035681.7	44
ENSG00000035687.9	300
ENSG00000035862.12	798
ENSG00000035928.14	382
ENSG00000036054.12	378
ENSG00000036257.12	590
ENSG00000036549.12	26
ENSG00000037241.7	119
ENSG00000037474.14	1019
ENSG00000037637.10	90
ENSG00000037749.11	259
ENSG00000037757.13	122
ENSG00000037897.16	62
ENSG00000038219.12	346
ENSG00000038274.16	476
ENSG00000038358.14	238
ENSG00000038382.17	458
ENSG00000038532.14	71
ENSG00000039123.15	509
ENSG00000039523.18	179
ENSG00000039560.13	354
ENSG00000039650.10	230
ENSG00000040199.18	36
ENSG00000040275.16	411
ENSG00000040341.17	103
ENSG00000040487.12	47
ENSG00000040531.14	87
ENSG00000040608.13	35
ENSG00000040633.12	133
ENSG00000040933.15	70
ENSG00000041353.9	77
ENSG00000041357.15	1266
ENSG00000041802.10	441
ENSG00000041880.14	26
ENSG00000041982.15	1983
ENSG00000041988.15	34
ENSG00000042088.13	183
ENSG00000042286.14	223
ENSG00000042317.16	47
ENSG00000042429.10	192
ENSG00000042445.13	376
ENSG00000042493.15	500
ENSG00000042753.11	1238
ENSG00000043093.13	282
ENSG00000043143.20	257
ENSG00000043514.15	61
ENSG00000044090.8	162
ENSG00000044446.11	97
ENSG00000044574.7	3531
ENSG00000046604.12	662
ENSG00000046647.13	10
ENSG00000046651.14	61
ENSG00000046889.18	93
ENSG00000047056.14	28
ENSG00000047188.15	249
ENSG00000047249.16	198
ENSG00000047315.14	2083
ENSG00000047410.13	549
ENSG00000047578.12	42
ENSG00000047579.19	57
ENSG00000047634.14	64
ENSG00000047644.18	84
ENSG00000047648.21	22
ENSG00000047849.21	3397
ENSG00000047932.13	199
ENSG00000048028.11	147
ENSG00000048052.21	59
ENSG00000048140.17	66
ENSG00000048162.20	477
ENSG00000048342.15	112
ENSG00000048392.11	247
ENSG00000048405.9	115
ENSG00000048471.13	65
ENSG00000048544.5	311
ENSG00000048649.13	299
ENSG00000048707.13	275
ENSG00000048828.16	470
ENSG00000049130.13	79
ENSG00000049167.13	71
ENSG00000049245.12	368
ENSG00000049323.15	2112
ENSG00000049449.8	123
ENSG00000049541.10	379
ENSG00000049618.22	101
ENSG00000049656.13	53
ENSG00000049759.17	1451
ENSG00000049769.12	18
ENSG00000049860.13	458
ENSG00000049883.14	78
ENSG00000050344.8	388
ENSG00000050393.11	36
ENSG00000050405.13	375
ENSG00000050426.15	166
ENSG00000050438.16	173
ENSG00000050555.17	34
ENSG00000050748.17	142
ENSG00000050820.16	176
ENSG00000051108.14	249
ENSG00000051180.16	133
ENSG00000051341.13	101
ENSG00000051382.8	103
ENSG00000051620.10	159
ENSG00000051825.14	109
ENSG00000052749.13	323
ENSG00000052802.12	257
ENSG00000052841.14	185
ENSG00000053254.15	46
ENSG00000053371.12	199
ENSG00000053372.4	316
ENSG00000053501.12	148
ENSG00000053747.15	827
ENSG00000053770.11	329
ENSG00000053900.10	121
ENSG00000054116.11	271
ENSG00000054118.13	815
ENSG00000054148.17	329
ENSG00000054267.20	42
ENSG00000054277.13	78
ENSG00000054523.17	359
