gene_id	count
ENSG00000000003.14	799
ENSG00000000419.12	1283
ENSG00000000457.13	40
ENSG00000000460.16	167
ENSG00000000971.15	14
ENSG00000001036.13	435
ENSG00000001084.10	277
ENSG00000001167.14	478
ENSG00000001460.17	33
ENSG00000001461.16	98
ENSG00000001497.16	1016
ENSG00000001561.6	288
ENSG00000001617.11	231
ENSG00000001629.9	327
ENSG00000001630.15	885
ENSG00000001631.15	292
ENSG00000002016.17	39
ENSG00000002549.12	421
ENSG00000002822.15	173
ENSG00000002834.17	1084
ENSG00000003056.7	500
ENSG00000003096.13	353
ENSG00000003393.14	69
ENSG00000003400.14	17
ENSG00000003402.19	194
ENSG00000003436.14	588
ENSG00000003509.15	101
ENSG00000003756.16	383
ENSG00000003989.16	49
ENSG00000004059.10	669
ENSG00000004142.11	342
ENSG00000004455.16	245
ENSG00000004478.7	1772
ENSG00000004487.15	1215
ENSG00000004534.14	383
ENSG00000004660.14	34
ENSG00000004700.15	1242
ENSG00000004766.15	389
ENSG00000004779.9	1145
ENSG00000004799.7	34
ENSG00000004864.13	642
ENSG00000004866.19	205
ENSG00000004897.11	1108
ENSG00000004961.14	605
ENSG00000004975.11	181
ENSG00000005007.12	1109
ENSG00000005020.12	251
ENSG00000005022.5	4076
ENSG00000005073.5	61
ENSG00000005100.12	15
ENSG00000005156.11	219
ENSG00000005175.9	951
ENSG00000005189.19	56
ENSG00000005194.14	431
ENSG00000005206.16	39
ENSG00000005302.17	123
ENSG00000005339.14	407
ENSG00000005436.13	199
ENSG00000005448.16	223
ENSG00000005469.11	287
ENSG00000005483.20	214
ENSG00000005486.16	166
ENSG00000005700.14	399
ENSG00000005801.16	272
ENSG00000005810.17	721
ENSG00000005812.10	268
ENSG00000005882.11	185
ENSG00000005884.17	4653
ENSG00000005889.15	483
ENSG00000005893.15	2618
ENSG00000006007.11	123
ENSG00000006015.17	133
ENSG00000006042.11	99
ENSG00000006062.13	102
ENSG00000006125.16	2509
ENSG00000006194.9	54
ENSG00000006282.20	235
ENSG00000006327.13	438
ENSG00000006451.7	260
ENSG00000006453.13	215
ENSG00000006459.10	38
ENSG00000006468.13	293
ENSG00000006530.15	206
ENSG00000006555.10	18
ENSG00000006606.8	111
ENSG00000006607.13	201
ENSG00000006625.17	232
ENSG00000006634.7	227
ENSG00000006652.13	566
ENSG00000006695.10	45
ENSG00000006704.10	127
ENSG00000006712.14	521
ENSG00000006715.15	616
ENSG00000006744.18	754
ENSG00000006747.14	22
ENSG00000006757.11	123
ENSG00000006831.9	211
ENSG00000006837.11	18
ENSG00000007047.14	38
ENSG00000007080.10	685
ENSG00000007168.12	666
ENSG00000007202.14	523
ENSG00000007255.10	31
ENSG00000007341.18	102
ENSG00000007372.20	61
ENSG00000007376.7	133
ENSG00000007384.15	24
ENSG00000007392.16	267
ENSG00000007402.11	57
ENSG00000007516.13	45
ENSG00000007520.3	81
ENSG00000007541.16	75
ENSG00000007545.15	82
ENSG00000007866.18	33
ENSG00000007923.15	1105
ENSG00000007944.14	40
ENSG00000008018.8	2370
ENSG00000008128.22	11
ENSG00000008130.15	280
ENSG00000008256.15	119
ENSG00000008277.14	10
ENSG00000008282.8	2396
ENSG00000008283.15	141
ENSG00000008294.20	3793
ENSG00000008311.14	35
ENSG00000008382.15	38
ENSG00000008394.12	2440
ENSG00000008441.16	764
ENSG00000008513.14	771
ENSG00000008710.18	7
ENSG00000008838.18	340
ENSG00000008853.16	47
ENSG00000008869.11	330
ENSG00000008952.16	1256
ENSG00000008988.9	605
ENSG00000009307.15	2939
ENSG00000009335.17	762
ENSG00000009413.15	155
ENSG00000009780.15	22
ENSG00000009844.15	455
ENSG00000009954.10	1942
ENSG00000010017.12	293
ENSG00000010072.15	255
ENSG00000010165.19	1044
ENSG00000010219.13	95
ENSG00000010244.17	1405
ENSG00000010256.10	2649
ENSG00000010270.13	66
ENSG00000010278.12	2047
ENSG00000010292.12	1972
ENSG00000010322.15	191
ENSG00000010361.13	17
ENSG00000010404.17	43
ENSG00000010539.11	57
ENSG00000010626.14	23
ENSG00000010803.16	34
ENSG00000010810.17	80
ENSG00000010818.8	235
ENSG00000011007.12	326
ENSG00000011009.10	74
ENSG00000011028.13	348
ENSG00000011052.21	10870
ENSG00000011105.11	50
ENSG00000011114.14	18
ENSG00000011143.16	188
ENSG00000011198.7	271
ENSG00000011243.17	343
ENSG00000011258.15	81
ENSG00000011260.13	1177
ENSG00000011275.18	430
ENSG00000011295.15	162
ENSG00000011304.18	2746
ENSG00000011347.9	22
ENSG00000011376.9	491
ENSG00000011405.13	965
ENSG00000011422.11	537
ENSG00000011426.10	4487
ENSG00000011454.16	507
ENSG00000011478.11	26
ENSG00000011485.14	585
ENSG00000011523.13	39
ENSG00000011566.14	370
ENSG00000011638.10	86
ENSG00000011677.12	9
ENSG00000012048.20	369
ENSG00000012061.15	128
ENSG00000012171.18	31
ENSG00000012174.11	520
ENSG00000012211.12	79
ENSG00000012232.8	115
ENSG00000012660.13	2151
ENSG00000012822.15	52
ENSG00000012963.14	115
ENSG00000012983.11	637
ENSG00000013016.15	58
ENSG00000013275.7	1591
ENSG00000013288.8	37
ENSG00000013297.10	206
ENSG00000013306.15	711
ENSG00000013364.18	125
ENSG00000013374.15	761
ENSG00000013375.15	536
ENSG00000013392.7	33
ENSG00000013441.15	135
ENSG00000013503.9	703
ENSG00000013523.9	199
ENSG00000013561.17	320
ENSG00000013563.13	88
ENSG00000013573.16	34
ENSG00000013583.8	281
ENSG00000013588.6	903
ENSG00000013619.13	43
ENSG00000013810.18	864
ENSG00000014123.9	211
ENSG00000014138.8	499
ENSG00000014164.6	101
ENSG00000014216.15	1364
ENSG00000014641.17	4075
ENSG00000014824.13	255
ENSG00000014919.12	335
ENSG00000015133.18	112
ENSG00000015153.14	91
ENSG00000015475.18	133
ENSG00000015479.17	4029
ENSG00000015532.9	114
ENSG00000015676.17	608
ENSG00000016082.14	18
ENSG00000016391.10	21
ENSG00000016864.17	384
ENSG00000017260.19	536
ENSG00000017797.11	528
ENSG00000018189.12	39
ENSG00000018236.14	109
ENSG00000018408.14	1535
ENSG00000018510.13	921
ENSG00000018610.13	161
ENSG00000018699.11	450
ENSG00000019144.17	152
ENSG00000019549.8	151
ENSG00000020129.15	129
ENSG00000020256.19	107
ENSG00000020426.10	1836
ENSG00000020577.13	251
ENSG00000020922.12	560
ENSG00000021355.12	259
ENSG00000021574.11	225
ENSG00000021762.19	61
ENSG00000021776.10	1452
ENSG00000021826.14	164
ENSG00000022267.16	599
ENSG00000022277.12	1305
ENSG00000022840.15	86
ENSG00000022976.15	33
ENSG00000023041.11	136
ENSG00000023171.15	369
ENSG00000023191.16	145
ENSG00000023228.13	2133
ENSG00000023287.12	134
ENSG00000023318.7	534
ENSG00000023330.14	942
ENSG00000023516.8	410
ENSG00000023608.4	2204
ENSG00000023697.12	73
ENSG00000023734.10	803
ENSG00000023892.10	102
ENSG00000023902.13	30
ENSG00000023909.9	618
ENSG00000024048.10	680
ENSG00000024422.11	12
ENSG00000024526.16	189
ENSG00000025293.16	411
ENSG00000025770.18	191
ENSG00000025772.7	1508
ENSG00000025796.13	510
ENSG00000025800.13	965
ENSG00000026025.14	17842
ENSG00000026297.15	64
ENSG00000026508.16	2997
ENSG00000026559.13	24
ENSG00000026652.13	15
ENSG00000026950.16	16
ENSG00000027001.9	176
ENSG00000027075.13	262
ENSG00000027697.13	183
ENSG00000027847.13	79
ENSG00000028116.16	362
ENSG00000028203.17	446
ENSG00000028277.21	7
ENSG00000028310.17	230
ENSG00000028528.14	411
ENSG00000029153.14	304
ENSG00000029363.15	316
ENSG00000029364.11	1356
ENSG00000029534.19	27
ENSG00000029639.10	255
ENSG00000029725.16	143
ENSG00000029993.14	360
ENSG00000030066.13	907
ENSG00000030110.12	33
ENSG00000030582.16	3498
ENSG00000031003.10	11
ENSG00000031691.6	178
ENSG00000031698.12	1429
ENSG00000031823.14	712
ENSG00000032389.12	266
ENSG00000032444.15	771
ENSG00000032742.17	124
ENSG00000033011.11	231
ENSG00000033030.13	242
ENSG00000033050.7	1086
ENSG00000033100.15	111
ENSG00000033170.16	2575
ENSG00000033178.12	1736
ENSG00000033800.13	367
ENSG00000033867.16	2200
ENSG00000034053.14	32
ENSG00000034152.18	251
ENSG00000034510.5	8493
ENSG00000034533.11	69
ENSG00000034677.12	512
ENSG00000034693.14	280
ENSG00000034713.7	638
ENSG00000035115.21	23
ENSG00000035141.7	168
ENSG00000035403.16	8763
ENSG00000035499.12	368
ENSG00000035664.11	9
ENSG00000035681.7	19
ENSG00000035687.9	658
ENSG00000035862.12	895
ENSG00000035928.14	694
ENSG00000036054.12	736
ENSG00000036257.12	1415
ENSG00000036672.15	10
ENSG00000037042.8	18
ENSG00000037241.7	150
ENSG00000037474.14	1936
ENSG00000037637.10	173
ENSG00000037749.11	268
ENSG00000037757.13	176
ENSG00000037897.16	96
ENSG00000037965.5	13
ENSG00000038210.12	131
ENSG00000038219.12	599
ENSG00000038274.16	365
ENSG00000038358.14	306
ENSG00000038382.17	680
ENSG00000038427.15	21
ENSG00000038532.14	97
ENSG00000039068.18	40
ENSG00000039123.15	1138
ENSG00000039139.9	135
ENSG00000039319.16	47
ENSG00000039523.18	237
ENSG00000039560.13	116
ENSG00000039650.10	195
ENSG00000040199.18	13
ENSG00000040275.16	816
ENSG00000040341.17	348
ENSG00000040487.12	41
ENSG00000040531.14	118
ENSG00000040608.13	26
ENSG00000040633.12	214
ENSG00000040933.15	79
ENSG00000041353.9	195
ENSG00000041357.15	2360
ENSG00000041802.10	867
ENSG00000041880.14	40
ENSG00000041982.15	2450
ENSG00000042088.13	200
ENSG00000042286.14	358
ENSG00000042317.16	68
ENSG00000042429.10	375
ENSG00000042445.13	527
ENSG00000042493.15	677
ENSG00000042753.11	1260
ENSG00000043093.13	434
ENSG00000043143.20	228
ENSG00000043514.15	119
ENSG00000044446.11	154
ENSG00000044459.14	103
ENSG00000044574.7	5761
ENSG00000046604.12	1193
ENSG00000046647.13	25
ENSG00000046651.14	103
ENSG00000046889.18	165
ENSG00000047188.15	323
ENSG00000047249.16	78
ENSG00000047315.14	3986
ENSG00000047346.12	51
ENSG00000047365.11	11
ENSG00000047410.13	927
ENSG00000047579.19	137
ENSG00000047621.11	42
ENSG00000047648.21	10
ENSG00000047849.21	5309
ENSG00000047932.13	196
ENSG00000048028.11	311
ENSG00000048052.21	90
ENSG00000048140.17	56
ENSG00000048162.20	954
ENSG00000048342.15	144
ENSG00000048392.11	610
ENSG00000048405.9	403
ENSG00000048471.13	68
ENSG00000048649.13	791
ENSG00000048707.13	383
ENSG00000048828.16	636
ENSG00000048991.16	301
ENSG00000049130.13	188
ENSG00000049167.13	16
ENSG00000049192.14	12
ENSG00000049239.12	44
ENSG00000049245.12	546
ENSG00000049246.14	38
ENSG00000049249.8	13
ENSG00000049323.15	3912
ENSG00000049449.8	182
ENSG00000049541.10	608
ENSG00000049618.22	197
ENSG00000049656.13	75
ENSG00000049759.17	1860
ENSG00000049860.13	646
ENSG00000049883.14	116
ENSG00000050327.14	12
ENSG00000050344.8	563
ENSG00000050405.13	360
ENSG00000050426.15	206
ENSG00000050438.16	166
ENSG00000050748.17	278
ENSG00000050820.16	224
