gene_id	count
ENSG00000000003.14	272
ENSG00000000419.12	538
ENSG00000000457.13	12
ENSG00000000460.16	12
ENSG00000001167.14	175
ENSG00000001461.16	74
ENSG00000001617.11	145
ENSG00000001630.15	98
ENSG00000001631.15	24
ENSG00000002016.17	12
ENSG00000002330.13	187
ENSG00000002549.12	142
ENSG00000002746.14	6
ENSG00000002822.15	50
ENSG00000002834.17	373
ENSG00000002919.14	12
ENSG00000003056.7	187
ENSG00000003096.13	92
ENSG00000003249.13	23
ENSG00000003402.19	56
ENSG00000003436.14	279
ENSG00000003509.15	38
ENSG00000003756.16	28
ENSG00000003989.16	8
ENSG00000004059.10	268
ENSG00000004142.11	110
ENSG00000004455.16	92
ENSG00000004478.7	326
ENSG00000004487.15	590
ENSG00000004534.14	14
ENSG00000004700.15	343
ENSG00000004766.15	8
ENSG00000004779.9	365
ENSG00000004866.19	43
ENSG00000004897.11	91
ENSG00000004961.14	181
ENSG00000004975.11	91
ENSG00000005007.12	588
ENSG00000005073.5	38
ENSG00000005075.15	10
ENSG00000005100.12	40
ENSG00000005175.9	274
ENSG00000005189.19	17
ENSG00000005206.16	13
ENSG00000005302.17	72
ENSG00000005339.14	161
ENSG00000005448.16	112
ENSG00000005483.20	5
ENSG00000005700.14	19
ENSG00000005801.16	39
ENSG00000005812.10	139
ENSG00000005882.11	93
ENSG00000005884.17	2262
ENSG00000005889.15	19
ENSG00000005893.15	1100
ENSG00000006015.17	61
ENSG00000006042.11	42
ENSG00000006062.13	10
ENSG00000006118.14	18
ENSG00000006125.16	156
ENSG00000006194.9	17
ENSG00000006282.20	86
ENSG00000006327.13	249
ENSG00000006451.7	142
ENSG00000006459.10	11
ENSG00000006468.13	125
ENSG00000006530.15	82
ENSG00000006534.15	18
ENSG00000006555.10	7
ENSG00000006606.8	41
ENSG00000006607.13	52
ENSG00000006625.17	99
ENSG00000006652.13	28
ENSG00000006695.10	15
ENSG00000006704.10	49
ENSG00000006712.14	95
ENSG00000006715.15	48
ENSG00000006744.18	44
ENSG00000006747.14	20
ENSG00000006757.11	63
ENSG00000006831.9	124
ENSG00000007080.10	395
ENSG00000007168.12	230
ENSG00000007255.10	26
ENSG00000007341.18	62
ENSG00000007376.7	36
ENSG00000007384.15	18
ENSG00000007392.16	82
ENSG00000007402.11	7
ENSG00000007516.13	36
ENSG00000007520.3	41
ENSG00000007541.16	23
ENSG00000007545.15	32
ENSG00000007866.18	25
ENSG00000007944.14	13
ENSG00000007968.6	15
ENSG00000008018.8	1224
ENSG00000008130.15	61
ENSG00000008277.14	6
ENSG00000008282.8	860
ENSG00000008283.15	74
ENSG00000008294.20	1027
ENSG00000008300.15	10
ENSG00000008311.14	7
ENSG00000008382.15	5
ENSG00000008394.12	960
ENSG00000008441.16	265
ENSG00000008513.14	190
ENSG00000008517.16	19
ENSG00000008710.18	10
ENSG00000008838.18	106
ENSG00000008952.16	516
ENSG00000008988.9	78
ENSG00000009307.15	43
ENSG00000009335.17	30
ENSG00000009780.15	13
ENSG00000009830.11	14
ENSG00000009844.15	207
ENSG00000010072.15	27
ENSG00000010165.19	217
ENSG00000010219.13	7
ENSG00000010244.17	505
ENSG00000010256.10	597
ENSG00000010278.12	752
ENSG00000010292.12	78
ENSG00000010318.20	5
ENSG00000010361.13	7
ENSG00000010404.17	20
ENSG00000010539.11	18
ENSG00000010626.14	14
ENSG00000010803.16	27
ENSG00000011007.12	136
ENSG00000011009.10	26
ENSG00000011021.21	6
ENSG00000011028.13	7
ENSG00000011052.21	2192
ENSG00000011105.11	11
ENSG00000011114.14	9
ENSG00000011143.16	67
ENSG00000011198.7	87
ENSG00000011243.17	100
ENSG00000011260.13	303
ENSG00000011295.15	50
ENSG00000011304.18	950
ENSG00000011332.19	7
ENSG00000011376.9	125
ENSG00000011405.13	82
ENSG00000011422.11	178
ENSG00000011426.10	1322
ENSG00000011478.11	8
ENSG00000011485.14	214
ENSG00000011523.13	33
ENSG00000011566.14	72
ENSG00000011638.10	13
ENSG00000012048.20	99
ENSG00000012061.15	74
ENSG00000012171.18	6
ENSG00000012211.12	16
ENSG00000012232.8	21
ENSG00000012660.13	479
ENSG00000012822.15	13
ENSG00000012963.14	31
ENSG00000012983.11	134
ENSG00000013275.7	673
ENSG00000013297.10	108
ENSG00000013364.18	72
ENSG00000013374.15	362
ENSG00000013375.15	153
ENSG00000013392.7	12
ENSG00000013441.15	178
ENSG00000013503.9	147
ENSG00000013523.9	11
ENSG00000013561.17	74
ENSG00000013583.8	107
ENSG00000013588.6	454
ENSG00000013810.18	42
ENSG00000014138.8	118
ENSG00000014216.15	358
ENSG00000014641.17	954
ENSG00000014824.13	20
ENSG00000014919.12	82
ENSG00000015133.18	47
ENSG00000015153.14	11
ENSG00000015171.18	74
ENSG00000015475.18	17
ENSG00000015479.17	184
ENSG00000015532.9	84
ENSG00000015676.17	208
ENSG00000016402.13	8
ENSG00000016864.17	66
ENSG00000017260.19	123
ENSG00000018189.12	22
ENSG00000018236.14	5
ENSG00000018408.14	499
ENSG00000018610.13	73
ENSG00000018699.11	27
ENSG00000019144.17	35
ENSG00000019485.12	16
ENSG00000019549.8	88
ENSG00000019995.6	63
ENSG00000020129.15	79
ENSG00000020256.19	51
ENSG00000020426.10	582
ENSG00000020577.13	136
ENSG00000021355.12	60
ENSG00000021762.19	25
ENSG00000021776.10	40
ENSG00000022267.16	338
ENSG00000022277.12	523
ENSG00000022840.15	52
ENSG00000023171.15	82
