gene_id	count
ENSG00000000003.14	461
ENSG00000000005.5	0
ENSG00000000419.12	816
ENSG00000000457.13	73
ENSG00000000460.16	173
ENSG00000000938.12	1
ENSG00000000971.15	83
ENSG00000001036.13	628
ENSG00000001084.10	688
ENSG00000001167.14	195
ENSG00000001460.17	73
ENSG00000001461.16	271
ENSG00000001497.16	888
ENSG00000001561.6	85
ENSG00000001617.11	961
ENSG00000001626.14	0
ENSG00000001629.9	505
ENSG00000001630.15	204
ENSG00000001631.15	427
ENSG00000002016.17	68
ENSG00000002330.13	568
ENSG00000002549.12	284
ENSG00000002586.18	0
ENSG00000002586.18_PAR_Y	0
ENSG00000002587.9	13
ENSG00000002726.20	0
ENSG00000002745.12	1
ENSG00000002746.14	12
ENSG00000002822.15	182
ENSG00000002834.17	667
ENSG00000002919.14	114
ENSG00000002933.7	0
ENSG00000003056.7	261
ENSG00000003096.13	93
ENSG00000003137.8	4
ENSG00000003147.17	1
ENSG00000003249.13	54
ENSG00000003393.14	294
ENSG00000003400.14	10
ENSG00000003402.19	162
ENSG00000003436.14	307
ENSG00000003509.15	110
ENSG00000003756.16	737
ENSG00000003987.13	1
ENSG00000003989.16	15
ENSG00000004059.10	650
ENSG00000004139.13	17
ENSG00000004142.11	645
ENSG00000004399.12	68
ENSG00000004455.16	285
ENSG00000004468.12	4
ENSG00000004478.7	640
ENSG00000004487.15	1258
ENSG00000004534.14	700
ENSG00000004660.14	38
ENSG00000004700.15	501
ENSG00000004766.15	284
ENSG00000004776.11	2
ENSG00000004777.18	27
ENSG00000004779.9	712
ENSG00000004799.7	31
ENSG00000004809.13	1
ENSG00000004838.13	10
ENSG00000004846.16	0
ENSG00000004848.7	0
ENSG00000004864.13	270
ENSG00000004866.19	253
ENSG00000004897.11	886
ENSG00000004939.13	1
ENSG00000004948.13	0
ENSG00000004961.14	268
ENSG00000004975.11	325
ENSG00000005001.9	1
ENSG00000005007.12	1369
ENSG00000005020.12	127
ENSG00000005022.5	1995
ENSG00000005059.15	255
ENSG00000005073.5	78
ENSG00000005075.15	91
ENSG00000005100.12	146
ENSG00000005102.12	1
ENSG00000005108.15	4
ENSG00000005156.11	221
ENSG00000005175.9	396
ENSG00000005187.11	26
ENSG00000005189.19	82
ENSG00000005194.14	115
ENSG00000005206.16	161
ENSG00000005238.19	69
ENSG00000005243.9	2
ENSG00000005249.12	7
ENSG00000005302.17	226
ENSG00000005339.14	1011
ENSG00000005379.15	24
ENSG00000005381.7	0
ENSG00000005421.8	1
ENSG00000005436.13	173
ENSG00000005448.16	338
ENSG00000005469.11	167
ENSG00000005471.15	1
ENSG00000005483.20	670
ENSG00000005486.16	334
ENSG00000005513.9	5
ENSG00000005700.14	670
ENSG00000005801.16	309
ENSG00000005810.17	845
ENSG00000005812.10	239
ENSG00000005844.17	0
ENSG00000005882.11	297
ENSG00000005884.17	8202
ENSG00000005889.15	243
ENSG00000005893.15	1146
ENSG00000005961.17	15
ENSG00000005981.12	1
ENSG00000006007.11	606
ENSG00000006015.17	194
ENSG00000006016.10	1
ENSG00000006025.11	57
ENSG00000006042.11	174
ENSG00000006047.12	2
ENSG00000006059.3	0
ENSG00000006062.13	275
ENSG00000006071.12	1
ENSG00000006116.3	0
ENSG00000006118.14	306
ENSG00000006125.16	1585
ENSG00000006128.11	0
ENSG00000006194.9	173
ENSG00000006210.6	0
ENSG00000006282.20	1027
ENSG00000006283.17	7
ENSG00000006327.13	973
ENSG00000006377.10	1
ENSG00000006432.15	206
ENSG00000006451.7	198
ENSG00000006453.13	217
ENSG00000006459.10	20
ENSG00000006468.13	219
ENSG00000006530.15	140
ENSG00000006534.15	71
ENSG00000006555.10	16
ENSG00000006576.16	261
ENSG00000006606.8	61
ENSG00000006607.13	107
ENSG00000006611.15	0
ENSG00000006625.17	198
ENSG00000006634.7	168
ENSG00000006638.11	37
ENSG00000006652.13	750
ENSG00000006659.12	0
ENSG00000006695.10	44
ENSG00000006704.10	242
ENSG00000006712.14	441
ENSG00000006715.15	517
ENSG00000006740.16	6
ENSG00000006744.18	593
ENSG00000006747.14	22
ENSG00000006756.15	29
ENSG00000006757.11	231
ENSG00000006788.12	0
ENSG00000006831.9	153
ENSG00000006837.11	23
ENSG00000007001.12	0
ENSG00000007038.10	0
ENSG00000007047.14	186
ENSG00000007062.11	1
ENSG00000007080.10	788
ENSG00000007129.17	0
ENSG00000007168.12	357
ENSG00000007171.16	0
ENSG00000007174.17	0
ENSG00000007202.14	2260
ENSG00000007216.14	0
ENSG00000007237.18	0
ENSG00000007255.10	50
ENSG00000007264.14	0
ENSG00000007306.14	0
ENSG00000007312.12	0
ENSG00000007314.11	1
ENSG00000007341.18	113
ENSG00000007350.16	0
ENSG00000007372.20	89
ENSG00000007376.7	180
ENSG00000007384.15	124
ENSG00000007392.16	233
ENSG00000007402.11	25
ENSG00000007516.13	137
ENSG00000007520.3	390
ENSG00000007541.16	251
ENSG00000007545.15	207
ENSG00000007866.18	79
ENSG00000007908.15	0
ENSG00000007923.15	761
ENSG00000007933.12	0
ENSG00000007944.14	35
ENSG00000007952.17	0
ENSG00000007968.6	28
ENSG00000008018.8	1884
ENSG00000008056.12	0
ENSG00000008083.13	124
ENSG00000008086.11	37
ENSG00000008118.9	2
ENSG00000008128.22	48
ENSG00000008130.15	703
ENSG00000008196.12	0
ENSG00000008197.4	0
ENSG00000008226.19	2
ENSG00000008256.15	236
ENSG00000008277.14	69
ENSG00000008282.8	1323
ENSG00000008283.15	259
ENSG00000008294.20	2766
ENSG00000008300.15	118
ENSG00000008311.14	34
ENSG00000008323.15	11
ENSG00000008324.10	70
ENSG00000008382.15	128
ENSG00000008394.12	1179
ENSG00000008405.11	214
ENSG00000008438.4	0
ENSG00000008441.16	1025
ENSG00000008513.14	576
ENSG00000008516.16	1
ENSG00000008517.16	33
ENSG00000008710.18	402
ENSG00000008735.13	17
ENSG00000008838.18	525
ENSG00000008853.16	160
ENSG00000008869.11	283
ENSG00000008952.16	742
ENSG00000008988.9	427
ENSG00000009307.15	4380
ENSG00000009335.17	1429
ENSG00000009413.15	404
ENSG00000009694.13	9
ENSG00000009709.11	0
ENSG00000009724.16	2
ENSG00000009765.14	0
ENSG00000009780.15	43
ENSG00000009790.14	0
ENSG00000009830.11	245
ENSG00000009844.15	288
ENSG00000009950.15	2
ENSG00000009954.10	1662
ENSG00000010017.12	453
ENSG00000010030.13	1
ENSG00000010072.15	64
ENSG00000010165.19	824
ENSG00000010219.13	94
ENSG00000010244.17	724
ENSG00000010256.10	2215
ENSG00000010270.13	223
ENSG00000010278.12	1105
ENSG00000010282.14	0
ENSG00000010292.12	1615
ENSG00000010295.19	2
ENSG00000010310.8	3
ENSG00000010318.20	26
ENSG00000010319.6	3
ENSG00000010322.15	369
ENSG00000010327.10	1
ENSG00000010361.13	61
ENSG00000010379.15	0
ENSG00000010404.17	728
ENSG00000010438.16	1123
ENSG00000010539.11	59
ENSG00000010610.9	0
ENSG00000010626.14	43
ENSG00000010671.15	1
ENSG00000010704.18	0
ENSG00000010803.16	266
ENSG00000010810.17	135
ENSG00000010818.8	786
ENSG00000010932.15	0
ENSG00000011007.12	602
ENSG00000011009.10	79
ENSG00000011021.21	107
ENSG00000011028.13	456
ENSG00000011052.21	7489
ENSG00000011083.8	0
ENSG00000011105.11	45
ENSG00000011114.14	38
ENSG00000011132.11	124
ENSG00000011143.16	279
ENSG00000011198.7	201
ENSG00000011201.11	100
ENSG00000011243.17	342
ENSG00000011258.15	207
ENSG00000011260.13	818
ENSG00000011275.18	342
ENSG00000011295.15	227
ENSG00000011304.18	2023
ENSG00000011332.19	43
ENSG00000011347.9	37
ENSG00000011376.9	235
ENSG00000011405.13	453
ENSG00000011422.11	496
ENSG00000011426.10	2119
ENSG00000011451.17	651
ENSG00000011454.16	360
ENSG00000011465.16	1
ENSG00000011478.11	136
ENSG00000011485.14	561
ENSG00000011523.13	121
ENSG00000011566.14	649
ENSG00000011590.13	0
ENSG00000011600.11	0
ENSG00000011638.10	61
ENSG00000011677.12	15
ENSG00000012048.20	353
ENSG00000012061.15	244
ENSG00000012124.15	1
ENSG00000012171.18	97
ENSG00000012174.11	327
ENSG00000012211.12	147
ENSG00000012223.12	0
ENSG00000012232.8	233
ENSG00000012504.13	1
ENSG00000012660.13	903
ENSG00000012779.10	0
ENSG00000012817.15	1
ENSG00000012822.15	143
ENSG00000012963.14	95
ENSG00000012983.11	1853
ENSG00000013016.15	73
ENSG00000013275.7	1220
ENSG00000013288.8	104
ENSG00000013293.5	0
ENSG00000013297.10	151
ENSG00000013306.15	3163
ENSG00000013364.18	268
ENSG00000013374.15	627
ENSG00000013375.15	341
ENSG00000013392.7	34
ENSG00000013441.15	573
ENSG00000013503.9	278
ENSG00000013523.9	215
ENSG00000013561.17	324
ENSG00000013563.13	181
ENSG00000013573.16	72
ENSG00000013583.8	146
ENSG00000013588.6	514
ENSG00000013619.13	109
ENSG00000013725.14	0
ENSG00000013810.18	650
ENSG00000014123.9	221
ENSG00000014138.8	385
ENSG00000014164.6	166
ENSG00000014216.15	1085
ENSG00000014257.15	7
ENSG00000014641.17	1612
ENSG00000014824.13	372
ENSG00000014914.19	37
ENSG00000014919.12	129
ENSG00000015133.18	204
ENSG00000015153.14	52
ENSG00000015171.18	225
ENSG00000015285.10	10
ENSG00000015413.9	0
ENSG00000015475.18	153
ENSG00000015479.17	2096
ENSG00000015520.14	1
ENSG00000015532.9	375
ENSG00000015568.12	0
ENSG00000015592.16	1
ENSG00000015676.17	428
ENSG00000016082.14	5
ENSG00000016391.10	5
ENSG00000016402.13	33
ENSG00000016490.15	0
ENSG00000016602.9	0
ENSG00000016864.17	395
ENSG00000017260.19	969
ENSG00000017427.15	0
ENSG00000017483.14	8
ENSG00000017797.11	815
ENSG00000018189.12	116
ENSG00000018236.14	10
ENSG00000018280.16	0
ENSG00000018408.14	695
ENSG00000018510.13	497
ENSG00000018610.13	101
ENSG00000018625.14	0
ENSG00000018699.11	274
ENSG00000018869.16	0
ENSG00000019102.11	1
ENSG00000019144.17	231
ENSG00000019169.10	0
ENSG00000019186.9	0
ENSG00000019485.12	44
ENSG00000019505.7	0
ENSG00000019549.8	147
ENSG00000019582.14	1
ENSG00000019991.15	1
ENSG00000019995.6	293
ENSG00000020129.15	265
ENSG00000020181.17	30
ENSG00000020256.19	188
ENSG00000020426.10	1092
ENSG00000020577.13	757
ENSG00000020633.18	4
ENSG00000020922.12	296
ENSG00000021300.13	11
ENSG00000021355.12	240
ENSG00000021461.16	0
ENSG00000021488.12	0
ENSG00000021574.11	111
ENSG00000021645.18	6
ENSG00000021762.19	175
ENSG00000021776.10	753
ENSG00000021826.14	188
ENSG00000021852.12	0
ENSG00000022267.16	533
ENSG00000022277.12	1088
ENSG00000022355.16	0
ENSG00000022556.15	0
ENSG00000022567.9	130
ENSG00000022840.15	2682
ENSG00000022976.15	321
ENSG00000023041.11	235
ENSG00000023171.15	320
ENSG00000023191.16	274
ENSG00000023228.13	764
ENSG00000023287.12	336
ENSG00000023318.7	276
ENSG00000023330.14	418
ENSG00000023445.13	68
ENSG00000023516.8	269
ENSG00000023572.8	176
ENSG00000023608.4	2789
ENSG00000023697.12	115
ENSG00000023734.10	590
ENSG00000023839.10	11
ENSG00000023892.10	208
ENSG00000023902.13	89
ENSG00000023909.9	365
ENSG00000024048.10	431
ENSG00000024422.11	14
ENSG00000024526.16	212
ENSG00000024862.17	124
ENSG00000025039.14	17
ENSG00000025156.12	126
ENSG00000025293.16	353
ENSG00000025423.11	3
ENSG00000025434.18	35
ENSG00000025708.13	106
ENSG00000025770.18	367
ENSG00000025772.7	902
ENSG00000025796.13	496
ENSG00000025800.13	308
ENSG00000026025.14	19588
ENSG00000026036.21	387
ENSG00000026103.20	25
ENSG00000026297.15	149
ENSG00000026508.16	1488
ENSG00000026559.13	124
ENSG00000026652.13	25
ENSG00000026751.16	0
ENSG00000026950.16	60
ENSG00000027001.9	142
ENSG00000027075.13	419
ENSG00000027644.4	1
ENSG00000027697.13	155
ENSG00000027847.13	261
ENSG00000027869.11	11
ENSG00000028116.16	214
ENSG00000028137.17	1
ENSG00000028203.17	1423
ENSG00000028277.21	8
ENSG00000028310.17	311
ENSG00000028528.14	593
ENSG00000028839.9	101
ENSG00000029153.14	1368
ENSG00000029363.15	146
ENSG00000029364.11	738
ENSG00000029534.19	21
ENSG00000029559.6	0
ENSG00000029639.10	158
ENSG00000029725.16	306
ENSG00000029993.14	163
ENSG00000030066.13	482
ENSG00000030110.12	75
ENSG00000030304.13	2
ENSG00000030419.16	4
ENSG00000030582.16	6677
ENSG00000031003.10	346
ENSG00000031081.10	216
ENSG00000031691.6	166
ENSG00000031698.12	716
ENSG00000031823.14	825
ENSG00000032219.18	597
ENSG00000032389.12	353
ENSG00000032444.15	1929
ENSG00000032742.17	123
ENSG00000033011.11	168
ENSG00000033030.13	217
ENSG00000033050.7	705
ENSG00000033100.15	315
ENSG00000033122.18	3
ENSG00000033170.16	3754
ENSG00000033178.12	946
ENSG00000033327.12	94
ENSG00000033627.15	0
ENSG00000033800.13	205
ENSG00000033867.16	830
ENSG00000034053.14	82
ENSG00000034152.18	177
ENSG00000034239.10	0
ENSG00000034510.5	2983
ENSG00000034533.11	49
ENSG00000034677.12	438
ENSG00000034693.14	172
ENSG00000034713.7	291
ENSG00000034971.15	3
ENSG00000035115.21	58
ENSG00000035141.7	122
ENSG00000035403.16	4190
ENSG00000035499.12	216
ENSG00000035664.11	6
ENSG00000035681.7	187
ENSG00000035687.9	458
ENSG00000035720.7	0
ENSG00000035862.12	684
ENSG00000035928.14	576
ENSG00000036054.12	547
ENSG00000036257.12	716
ENSG00000036448.9	0
ENSG00000036473.6	0
ENSG00000036530.8	5
ENSG00000036549.12	495
ENSG00000036565.14	0
ENSG00000036672.15	6
ENSG00000036828.14	1
ENSG00000037042.8	64
ENSG00000037241.7	102
ENSG00000037280.15	0
ENSG00000037474.14	1050
ENSG00000037637.10	223
ENSG00000037749.11	131
ENSG00000037757.13	192
ENSG00000037897.16	58
ENSG00000037965.5	3
ENSG00000038002.8	134
ENSG00000038210.12	130
ENSG00000038219.12	705
ENSG00000038274.16	521
ENSG00000038295.7	86
ENSG00000038358.14	492
ENSG00000038382.17	1788
ENSG00000038427.15	27
ENSG00000038532.14	139
ENSG00000038945.14	0
ENSG00000039068.18	11
ENSG00000039123.15	467
ENSG00000039139.9	131
ENSG00000039319.16	274
ENSG00000039523.18	432
ENSG00000039537.13	0
ENSG00000039560.13	598
ENSG00000039600.10	6
ENSG00000039650.10	410
ENSG00000039987.6	0
ENSG00000040199.18	70
ENSG00000040275.16	841
ENSG00000040341.17	176
ENSG00000040487.12	62
ENSG00000040531.14	123
ENSG00000040608.13	77
ENSG00000040633.12	126
ENSG00000040731.10	0
ENSG00000040933.15	156
ENSG00000041353.9	94
ENSG00000041357.15	1300
ENSG00000041515.15	4
ENSG00000041802.10	602
ENSG00000041880.14	154
ENSG00000041982.15	3113
ENSG00000041988.15	137
ENSG00000042062.11	0
ENSG00000042088.13	364
ENSG00000042286.14	347
ENSG00000042304.10	0
ENSG00000042317.16	97
ENSG00000042429.10	276
ENSG00000042445.13	471
ENSG00000042493.15	696
ENSG00000042753.11	778
ENSG00000042781.12	5
ENSG00000042813.7	0
ENSG00000042832.11	2
ENSG00000042980.12	0
ENSG00000043039.6	0
ENSG00000043093.13	229
ENSG00000043143.20	287
ENSG00000043355.11	1
ENSG00000043462.11	0
ENSG00000043514.15	232
ENSG00000043591.5	12
ENSG00000044012.3	0
ENSG00000044090.8	539
ENSG00000044115.20	0
ENSG00000044446.11	229
ENSG00000044459.14	133
ENSG00000044524.10	17
ENSG00000044574.7	1358
ENSG00000046604.12	925
ENSG00000046647.13	37
ENSG00000046651.14	186
ENSG00000046653.14	1
ENSG00000046774.9	0
ENSG00000046889.18	4
ENSG00000047056.14	50
